시도,시군구,합계,음주운전,음주운전,음주운전,음주운전,음주운전,음주운전,음주운전,음주운전,음주운전
시도,시군구,합계,합계,0.05%~0.09%,0.10%~0.14%,0.15%~0.19%,0.20%~0.24%,0.25%~0.29%,0.30%~0.34%,0.35%이상,측정불응
전북,익산시,81,81,15,37,14,12,1,2,0,0
전남,목포시,127,127,33,55,24,11,2,0,0,2
전남,여수시,131,131,32,43,34,15,4,0,1,2
전남,순천시,109,109,33,44,25,5,2,0,0,0
전남,나주시,64,64,16,22,12,10,3,0,0,1
전남,광양시,106,106,35,30,28,11,1,0,0,1
전남,담양군,21,21,7,9,3,2,0,0,0,0
전남,곡성군,6,6,1,2,1,2,0,0,0,0
전남,구례군,12,12,1,6,4,1,0,0,0,0
전남,고흥군,17,17,6,5,5,0,1,0,0,0
전남,보성군,15,15,5,5,3,2,0,0,0,0
전남,화순군,34,34,9,16,3,4,1,0,0,1
전남,장흥군,18,18,7,4,5,2,0,0,0,0
전남,강진군,17,17,6,5,2,3,1,0,0,0
전남,해남군,37,37,12,10,7,3,3,0,0,2
전남,영암군,60,60,13,22,15,6,0,2,0,2
전남,무안군,38,38,10,18,8,1,0,0,0,1
전남,함평군,9,9,0,2,4,1,2,0,0,0
전남,영광군,21,21,2,10,5,2,1,0,0,1
전남,장성군,15,15,5,5,2,2,1,0,0,0
전남,완도군,14,14,5,4,4,0,1,0,0,0
전남,진도군,16,16,4,4,8,0,0,0,0,0
전남,신안군,17,17,8,2,1,6,0,0,0,0
경북,포항시,201,201,52,78,54,12,3,0,1,1
경북,경주시,149,149,38,57,35,12,4,0,1,2
경북,김천시,58,58,13,21,13,8,1,1,0,1
경북,안동시,70,70,15,38,10,3,3,0,0,1
경북,구미시,237,237,74,99,45,15,3,1,0,0
경북,영주시,36,36,9,11,11,4,0,1,0,0
경북,영천시,57,57,11,21,15,5,1,1,0,3
경북,문경시,29,29,10,9,8,2,0,0,0,0
경북,상주시,35,35,12,11,9,1,2,0,0,0
경북,군위군,11,11,4,3,2,1,1,0,0,0
경북,의성군,15,15,5,6,2,2,0,0,0,0
경북,청송군,9,9,2,5,2,0,0,0,0,0
경북,영양군,7,7,3,1,2,0,1,0,0,0
경북,영덕군,15,15,4,7,3,0,1,0,0,0
경북,청도군,23,23,9,7,4,3,0,0,0,0
경북,고령군,20,20,5,7,6,0,1,0,0,1
경북,성주군,26,26,7,12,2,3,1,0,0,1
경북,칠곡군,88,88,34,26,19,6,2,1,0,0
경북,예천군,10,10,5,4,1,0,0,0,0,0
경북,봉화군,8,8,3,3,1,0,0,0,0,1
경북,울진군,29,29,5,13,3,6,0,1,1,0
경북,울릉군,4,4,0,2,2,0,0,0,0,0
경북,경산시,131,131,35,53,26,14,1,1,0,1
경남,진주시,75,75,24,30,17,1,2,1,0,0
경남,통영시,52,52,13,22,9,6,2,0,0,0
경남,김해시,148,148,41,58,30,12,3,0,0,4
경남,밀양시,38,38,9,17,9,2,0,1,0,0
경남,거제시,117,117,34,45,26,8,1,1,0,2
경남,의령군,8,8,2,1,3,1,0,0,0,1
경남,함안군,16,16,6,4,5,1,0,0,0,0
경남,창녕군,38,38,8,16,4,5,3,1,1,0
경남,양산시,99,99,27,36,27,8,0,0,0,1
경남,고성군,16,16,4,6,4,2,0,0,0,0
경남,사천시,29,29,9,9,8,3,0,0,0,0
경남,남해군,13,13,2,6,2,2,1,0,0,0
경남,하동군,11,11,4,3,2,1,1,0,0,0
경남,산청군,11,11,2,5,3,1,0,0,0,0
경남,함양군,20,20,8,5,4,2,1,0,0,0
경남,거창군,23,23,5,9,6,3,0,0,0,0
경남,합천군,12,12,5,1,3,1,2,0,0,0
경남,창원시(통합),255,255,57,104,66,23,5,0,0,0
제주,제주시,227,227,57,72,66,19,6,2,1,4
제주,서귀포시,138,138,33,46,30,17,8,0,2,2
출처) 도로교통공단.,,,,,,,,,,,
